Book Name,Author,Rating,Number of Ratings,Price,Book Image
The Women: A Novel,Kristin Hannah,4.8,"44,410",$21.65,"https://images-na.ssl-images-amazon.com/images/I/91mP3553EzL._AC_UL600_SR600,400_.jpg"
Just Another Missing Person: A Novel,Gillian McAllister,4.1,"4,284",$2.99,"https://images-na.ssl-images-amazon.com/images/I/81Ql-l8+XAL._AC_UL600_SR600,400_.jpg"
Dune,Frank Herbert,4.7,"92,645",$35.95,"https://images-na.ssl-images-amazon.com/images/I/71-1WBgjGoL._AC_UL600_SR600,400_.jpg"
First Lie Wins: A Novel,Ashley Elston,4.4,"24,716",$17.72,"https://images-na.ssl-images-amazon.com/images/I/81O4b-j4vnL._AC_UL600_SR600,400_.jpg"
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8,"125,409",$15.75,"https://images-na.ssl-images-amazon.com/images/I/71F4+7rk2eL._AC_UL600_SR600,400_.jpg"
A Court of Thorns and Roses,Sarah J. Maas,4.6,"186,751",$22.57,"https://images-na.ssl-images-amazon.com/images/I/81eKYrX0a6L._AC_UL600_SR600,400_.jpg"
I'm Glad My Mom Died,Jennette McCurdy,4.7,"66,186",$11.80,"https://images-na.ssl-images-amazon.com/images/I/71Dax2X6RhL._AC_UL600_SR600,400_.jpg"
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,4.7,"49,022",$5.99,"https://images-na.ssl-images-amazon.com/images/I/818mrorIALL._AC_UL600_SR600,400_.jpg"
"Fourth Wing: Empyrean, Book 1",Rebecca Yarros,4.8,"181,186",$22.57,"https://images-na.ssl-images-amazon.com/images/I/A15A7wamBML._AC_UL600_SR600,400_.jpg"
A Court of Mist and Fury,Sarah J. Maas,4.8,"166,339",$22.57,"https://images-na.ssl-images-amazon.com/images/I/81yWbjRDOaL._AC_UL600_SR600,400_.jpg"
"Iron Flame: Empyrean, Book 2",Rebecca Yarros,4.6,"136,896",$26.33,"https://images-na.ssl-images-amazon.com/images/I/A19tBquzlPL._AC_UL600_SR600,400_.jpg"
The Housemaid,Freida McFadden,4.5,"267,817",$5.99,"https://images-na.ssl-images-amazon.com/images/I/81Y1TlywXDL._AC_UL600_SR600,400_.jpg"
Dune Messiah,Frank Herbert,4.4,"27,337",$15.95,"https://images-na.ssl-images-amazon.com/images/I/81VCyFRJT2L._AC_UL600_SR600,400_.jpg"
A Court of Wings and Ruin,Sarah J. Maas,4.8,"152,869",$26.33,"https://images-na.ssl-images-amazon.com/images/I/81UBHdWJmcL._AC_UL600_SR600,400_.jpg"
Listen for the Lie: A Novel,Amy Tintera,4.4,"1,218",$17.71,"https://images-na.ssl-images-amazon.com/images/I/81Ln7A2uGYL._AC_UL600_SR600,400_.jpg"
Hidden Potential: The Science of Achieving Greater Things,Adam Grant,4.6,"1,979",$19.69,"https://images-na.ssl-images-amazon.com/images/I/71Pgrm3PqjL._AC_UL600_SR600,400_.jpg"
The Teacher,Freida McFadden,4.3,"52,746",$12.24,"https://images-na.ssl-images-amazon.com/images/I/81IPNZYDkvL._AC_UL600_SR600,400_.jpg"
Supercommunicators: How to Unlock the Secret Language of Connection,Charles Duhigg,4.4,171,$17.72,"https://images-na.ssl-images-amazon.com/images/I/81EIItzQ67L._AC_UL600_SR600,400_.jpg"
A Court of Silver Flames,Sarah J. Maas,4.8,"133,415",$7.99,"https://images-na.ssl-images-amazon.com/images/I/91s+Ai-5vUL._AC_UL600_SR600,400_.jpg"
"House of Flame and Shadow: Crescent City, Book 3",Sarah J. Maas,4.6,"59,550",$43.71,"https://images-na.ssl-images-amazon.com/images/I/91Wo-RnOG7L._AC_UL600_SR600,400_.jpg"
"House of Earth and Blood: Crescent City, Book 1",Sarah J. Maas,4.7,"92,396",$43.71,"https://images-na.ssl-images-amazon.com/images/I/81C3dq5D12L._AC_UL600_SR600,400_.jpg"
The Heaven & Earth Grocery Store: A Novel,James McBride,4.4,"38,087",$19.69,"https://images-na.ssl-images-amazon.com/images/I/81VgwKeq6jL._AC_UL600_SR600,400_.jpg"
The Little Liar: A Novel,Mitch Albom,4.7,"6,642",$22.04,"https://images-na.ssl-images-amazon.com/images/I/91s+yAijrHL._AC_UL600_SR600,400_.jpg"
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,"144,318",$17.32,"https://images-na.ssl-images-amazon.com/images/I/81A5jQHA+lL._AC_UL600_SR600,400_.jpg"
Remarkably Bright Creatures: A Novel,Shelby Van Pelt,4.6,"58,637",$22.04,"https://images-na.ssl-images-amazon.com/images/I/91jbLYiK43L._AC_UL600_SR600,400_.jpg"
Slow Productivity: The Lost Art of Accomplishment Without Burnout,Cal Newport,4.3,198,$15.75,"https://images-na.ssl-images-amazon.com/images/I/A1fwasEJTiL._AC_UL600_SR600,400_.jpg"
Penelope in Retrograde: A Novel,Brooke Abrams,4.3,"11,405",$22.04,"https://images-na.ssl-images-amazon.com/images/I/91sIHBloFPL._AC_UL600_SR600,400_.jpg"
Get It Together: Troubling Tales from the Liberal Fringe,Jesse Watters,5.0,6,$22.04,"https://images-na.ssl-images-amazon.com/images/I/817x4cKWKhL._AC_UL600_SR600,400_.jpg"
"Throne of Glass: Throne of Glass, Book 1",Sarah J. Maas,4.5,"94,005",$20.99,"https://images-na.ssl-images-amazon.com/images/I/81NUJN4cE4L._AC_UL600_SR600,400_.jpg"
A Court of Frost and Starlight,Sarah J. Maas,4.3,"101,931",$15.04,"https://images-na.ssl-images-amazon.com/images/I/81rsV18x60L._AC_UL600_SR600,400_.jpg"
